custateomer,state,gender,education,custateomer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,gender_column
HM55802,California,unknown,Bachelor,239210.79,17870,61.0,1/0/00,Corporate Auto,Four-Door Car,439,
FS42516,Oregon,unknown,College,580206.6,97541,72.0,1/0/00,Personal Auto,Four-Door Car,389,
US89481,California,unknown,Bachelor,394637.21,0,111.0,1/0/00,Personal Auto,Four-Door Car,799,
HS14476,Washington,M,College,916206.32,29723,80.0,1/0/00,Personal Auto,Four-Door Car,20,M
GE62437,Arizona,unknown,College,1290256.01,86584,111.0,1/2/00,Personal Auto,Four-Door Car,532,
EJ77678,Oregon,unknown,Master,323536.05,75690,80.0,1/1/00,Personal Auto,Four-Door Car,384,
SV85652,Arizona,unknown,College,245458.35,23158,63.0,1/1/00,Personal Auto,Four-Door Car,322,
UL64533,Nevada,unknown,High School or Below,1897545.61,65999,237.0,1/0/00,Corporate Auto,Luxury,615,
PF41800,California,unknown,Bachelor,471532.13,0,65.0,1/0/00,Personal Auto,Four-Door Car,308,
HD95276,Washington,F,College,473787.17,0,130.0,1/0/00,Personal Auto,SUV,23,F
SK67821,Oregon,unknown,Bachelor,493291.63,37260,62.0,1/0/00,Corporate Auto,Four-Door Car,15,
YV55495,Arizona,unknown,High School or Below,574422.97,68987,71.0,1/0/00,Personal Auto,Four-Door Car,204,
KY38074,California,unknown,Bachelor,1389173.57,42305,117.0,1/0/00,Personal Auto,Four-Door Car,561,
DM79012,Oregon,unknown,Master,738097.67,65706,91.0,1/0/00,Personal Auto,Four-Door Car,436,
CM61827,Oregon,unknown,Bachelor,309003.41,0,90.0,1/0/00,Personal Auto,Two-Door Car,648,
WC35801,Arizona,unknown,High School or Below,252163.31,53243,66.0,1/2/00,Personal Auto,Four-Door Car,157,
QG25316,Nevada,unknown,High School or Below,265206.18,0,70.0,1/1/00,Corporate Auto,Two-Door Car,484,
MB98372,Oregon,unknown,College,277104.5,50071,71.0,1/0/00,Corporate Auto,Two-Door Car,18,
IL19217,California,unknown,Bachelor,393900.64,60021,99.0,1/0/00,Personal Auto,Four-Door Car,882,
SR38658,Arizona,unknown,High School or Below,1223187.97,43244,103.0,1/0/00,Personal Auto,Luxury,494,
YD87931,Washington,M,Doctor,495165.61,46896,35354.0,1/1/00,Personal Auto,Four-Door Car,31,M
HG65722,Oregon,unknown,Doctor,1281910.29,10105,172.0,1/3/00,Personal Auto,SUV,0,
BU27331,Arizona,unknown,Bachelor,446851.05,0,73.0,1/3/00,Personal Auto,Four-Door Car,579,
XM45289,Oregon,unknown,High School or Below,551434.4,23218,71.0,1/0/00,Personal Auto,Two-Door Car,447,
KP34198,California,unknown,Bachelor,334387.53,0,92.0,1/0/00,Corporate Auto,Four-Door Car,529,
SH90947,Arizona,unknown,High School or Below,229447.89,0,62.0,1/0/00,Personal Auto,Four-Door Car,313,
WE95729,Oregon,unknown,College,3670742.64,24804,104.0,1/0/00,Personal Auto,SUV,593,
PY51963,California,unknown,Bachelor,3347334.95,33190,106.0,1/0/00,Corporate Auto,SUV,508,
RB69909,Nevada,unknown,High School or Below,798343.17,36014,69.0,1/3/00,Special Auto,Four-Door Car,173,
NW21079,Washington,F,Master,487938.48,67163,61.0,1/2/00,Personal Auto,Two-Door Car,33,F
FR46645,California,unknown,Bachelor,429399.73,16701,113.0,1/0/00,Personal Auto,Four-Door Car,831,
SY17488,Arizona,unknown,College,716439.55,46623,91.0,1/0/00,Corporate Auto,Four-Door Car,436,
AP67935,California,unknown,College,761951.58,64749,64.0,1/0/00,Special Auto,Four-Door Car,302,
FS37417,Arizona,unknown,High School or Below,395800.28,0,101.0,1/0/00,Personal Auto,SUV,484,
ML29312,Oregon,unknown,High School or Below,449949.33,16969,124.0,1/2/00,Personal Auto,SUV,704,
UB61619,Oregon,unknown,Master,405956.74,11621,108.0,1/0/00,Personal Auto,Four-Door Car,518,
CD86811,Arizona,unknown,Bachelor,445811.34,17622,65.0,1/1/00,Personal Auto,Four-Door Car,312,
RU83859,California,unknown,Bachelor,811033.31,11489,105.0,1/0/00,Personal Auto,Two-Door Car,504,
FG63582,Oregon,unknown,Bachelor,333976.49,0,94.0,1/0/00,Personal Auto,Two-Door Car,863,
NN71951,California,unknown,High School or Below,2426101.78,66525,100.0,1/0/00,Personal Auto,SUV,104,
WB37082,Arizona,unknown,Bachelor,661397.37,0,63.0,1/0/00,Personal Auto,Four-Door Car,676,
SM52139,Washington,unknown,College,293069.35,33663,73.0,1/0/00,Personal Auto,Four-Door Car,350,
FL82372,Oregon,unknown,College,867219.43,22547,112.0,1/0/00,Corporate Auto,SUV,537,
DP45816,Arizona,unknown,High School or Below,1163866.93,61486,97.0,1/0/00,Personal Auto,Two-Door Car,465,
GW33762,Oregon,unknown,Bachelor,684615.03,0,95.0,1/0/00,Personal Auto,Two-Door Car,456,
RZ33670,California,unknown,College,1172777.65,29879,102.0,1/0/00,Personal Auto,Four-Door Car,500,
PY70169,Oregon,unknown,High School or Below,2264383.48,93011,113.0,1/0/00,Personal Auto,SUV,281,
MO91628,Oregon,unknown,Master,261447.43,65186,65.0,1/0/00,Personal Auto,Two-Door Car,5,
HW87852,Oregon,unknown,Master,245175.27,26840,64.0,1/2/00,Personal Auto,Four-Door Car,307,
HB20453,Oregon,unknown,Bachelor,678127.02,0,104.0,1/1/00,Personal Auto,Luxury,982,
BN87372,Oregon,unknown,Bachelor,497480.15,75644,65.0,1/3/00,Personal Auto,Two-Door Car,467,
YX23800,Oregon,unknown,Bachelor,859160.49,38984,73.0,1/0/00,Personal Auto,Four-Door Car,350,
DZ87709,Oregon,unknown,High School or Below,559216.14,71811,71.0,1/0/00,Personal Auto,Four-Door Car,29,
XW13033,Nevada,unknown,College,800947.28,20961,67.0,1/0/00,Personal Auto,Four-Door Car,321,
SP81997,Washington,F,Master,unknown,41275,96.0,1/0/00,Personal Auto,Four-Door Car,41,F
OM82309,California,unknown,Bachelor,5816655.35,61321,186.0,1/1/00,Personal Auto,Luxury,427,
ZU35962,California,unknown,College,802522.94,0,77.0,1/0/00,Personal Auto,Two-Door Car,25,
VH85817,California,unknown,High School or Below,578018.22,51066,74.0,1/0/00,Personal Auto,Four-Door Car,787,
DT85712,California,unknown,Doctor,411853.91,34378,102.0,1/0/00,Personal Auto,SUV,489,
YJ88573,Nevada,unknown,Master,252307.02,43072,63.0,1/0/00,Personal Auto,Four-Door Car,302,
SQ19467,Oregon,unknown,College,655421.64,25222,90.0,1/0/00,Personal Auto,Four-Door Car,475,
YB66933,Washington,F,Bachelor,538275.2,77552,68.0,1/1/00,Corporate Auto,Four-Door Car,45,F
ET79815,California,unknown,College,592672.94,23091,96.0,1/5/00,Personal Auto,Four-Door Car,460,
QC35222,California,unknown,Bachelor,268347.07,48269,69.0,1/3/00,Corporate Auto,Four-Door Car,282,
CJ15590,Oregon,unknown,Bachelor,269518.24,32720,67.0,1/0/00,Personal Auto,Four-Door Car,321,
OI48267,California,unknown,College,604702.52,20396,76.0,1/1/00,Personal Auto,Four-Door Car,364,
JY67916,Oregon,unknown,College,1317101.28,21513,119.0,1/1/00,Personal Auto,Two-Door Car,679,
OW15518,Washington,F,College,1595001.95,0,87.0,1/1/00,Personal Auto,Two-Door Car,46,F
CZ33664,Oregon,unknown,Bachelor,252765.38,80744,63.0,1/0/00,Corporate Auto,Four-Door Car,11,
WK30175,Oregon,unknown,Bachelor,267209.58,52822,67.0,1/0/00,Corporate Auto,Two-Door Car,350,
ON44465,California,unknown,High School or Below,531329.4,0,77.0,1/1/00,Personal Auto,Four-Door Car,863,
TV87155,Oregon,unknown,Bachelor,2094619.25,69738,74.0,1/1/00,Personal Auto,Four-Door Car,492,
KH48895,Arizona,unknown,Master,837535.39,17780,109.0,1/0/00,Personal Auto,SUV,132,
NZ30757,California,unknown,Bachelor,480166.15,18107,62.0,1/0/00,Personal Auto,Four-Door Car,297,
RI22468,Arizona,unknown,Bachelor,574594.33,57740,74.0,1/3/00,Personal Auto,Four-Door Car,269,
FZ30935,Oregon,unknown,College,606611.6,32627,76.0,1/0/00,Personal Auto,Two-Door Car,380,
UG93476,California,unknown,College,800230.83,0,107.0,1/0/00,Personal Auto,SUV,513,
AB96670,California,unknown,College,239391.54,0,70.0,1/0/00,Personal Auto,Four-Door Car,425,
XK64261,Oregon,unknown,Bachelor,476281.79,65795,62.0,1/1/00,Corporate Auto,Two-Door Car,49,
EV68375,California,unknown,College,433038.6,60475,107.0,1/0/00,Personal Auto,Four-Door Car,513,
UN51653,California,unknown,High School or Below,940272.98,0,130.0,1/0/00,Personal Auto,SUV,936,
TO96662,Oregon,unknown,Bachelor,696669.45,41837,88.0,1/0/00,Personal Auto,Four-Door Car,142,
MR52087,California,unknown,Bachelor,769406.43,32303,65.0,1/0/00,Personal Auto,Four-Door Car,45,
DE75225,Oregon,unknown,High School or Below,871756.11,0,117.0,1/1/00,Personal Auto,SUV,561,
EP80820,California,unknown,Bachelor,592874.85,40531,74.0,1/0/00,Personal Auto,Two-Door Car,30,
GU99037,Oregon,unknown,College,245297.73,79898,62.0,1/1/00,Corporate Auto,Four-Door Car,271,
WI57118,California,unknown,College,670157.17,56398,85.0,1/0/00,Personal Auto,Four-Door Car,408,
GP39118,Washington,M,High School or Below,499655.27,71600,63.0,1/0/00,Personal Auto,Two-Door Car,46,M
MQ14219,Arizona,unknown,College,849269.88,27804,109.0,1/0/00,Personal Auto,SUV,784,
KN20603,Oregon,unknown,Bachelor,771349.4,45506,66.0,1/2/00,Personal Auto,Four-Door Car,316,
SG20925,Washington,F,Master,518579.76,99428,6464.0,1/1/00,Personal Auto,Four-Door Car,48,F
JI70886,California,unknown,High School or Below,729006.98,0,102.0,1/1/00,Corporate Auto,SUV,489,
VF72557,Oregon,unknown,High School or Below,477294.38,20993,133.0,1/0/00,Personal Auto,SUV,638,
OX28638,Arizona,unknown,High School or Below,680649.14,37839,86.0,1/0/00,Personal Auto,Two-Door Car,465,
SK55033,California,unknown,Bachelor,246978.13,92711,62.0,1/0/00,Personal Auto,Two-Door Car,368,
OO88645,California,unknown,College,310392.3,74665,78.0,1/2/00,Corporate Auto,Four-Door Car,236,
FM14335,Washington,F,College,1048491.54,61108,89.0,1/0/00,Personal Auto,Four-Door Car,49,F
CW82151,California,unknown,Bachelor,890273.76,46833,112.0,1/0/00,Personal Auto,Luxury,64,
DY22043,Oregon,unknown,High School or Below,549944.72,88768,68.0,1/0/00,Personal Auto,Two-Door Car,326,
SH36774,California,unknown,High School or Below,1502359.86,28262,192.0,1/0/00,Personal Auto,Luxury,921,
EM43724,Nevada,unknown,Bachelor,250910.79,33555,63.0,1/0/00,Personal Auto,Four-Door Car,101,
FH85960,Oregon,unknown,College,3122174.81,42780,113.0,1/1/00,Personal Auto,Four-Door Car,542,
XA55993,Oregon,unknown,Master,313350.34,58850,78.0,1/0/00,Personal Auto,Four-Door Car,143,
GO36627,Arizona,unknown,College,383745.19,21880,97.0,1/0/00,Special Auto,Four-Door Car,424,
QH48047,Oregon,unknown,College,1179049.62,25251,66.0,1/0/00,Personal Auto,Four-Door Car,316,
HS28694,Washington,F,High School or Below,282986.39,25317,71.0,1/0/00,Personal Auto,Two-Door Car,50,F
UH65059,Arizona,unknown,High School or Below,430580.83,24188,109.0,1/0/00,Personal Auto,Luxury,523,
FV21968,Nevada,unknown,Bachelor,597397.69,41611,74.0,1/0/00,Special Auto,Four-Door Car,113,
QA87025,Oregon,unknown,Bachelor,567044.24,28406,72.0,1/1/00,Personal Auto,Four-Door Car,192,
TQ13499,Arizona,unknown,College,473174.93,69833,118.0,1/0/00,Personal Auto,Four-Door Car,828,
BU44523,Arizona,unknown,High School or Below,802637.96,0,74.0,1/0/00,Corporate Auto,Four-Door Car,532,
MS41162,Arizona,unknown,High School or Below,402296.35,0,117.0,1/0/00,Personal Auto,SUV,975,
PU25891,Oregon,unknown,High School or Below,961831.09,80536,119.0,1/0/00,Special Auto,Luxury,53,
LH92841,Washington,F,Bachelor,725595.38,88891,89.0,1/0/00,Personal Auto,Four-Door Car,50,F
SX26335,Oregon,unknown,College,955292.69,97732,79.0,1/0/00,Personal Auto,Four-Door Car,289,
AZ95587,Arizona,F,Bachelor,1038855.32,61222,89.0,1/0/00,Special Auto,Four-Door Car,392,F
DS81757,Oregon,M,College,247012.12,0,74.0,1/0/00,Personal Auto,Two-Door Car,721,M
OJ94107,Arizona,M,Master,561906.85,50335,140.0,1/0/00,Personal Auto,SUV,456,M
LP84436,California,F,High School or Below,904711.92,0,127.0,1/0/00,Personal Auto,Luxury,1087,F
FF22360,Washington,F,Doctor,268731.41,82210,68.0,1/4/00,Personal Auto,Four-Door Car,51,F
LM19287,Oregon,F,High School or Below,373150.46,0,96.0,1/0/00,Personal Auto,Four-Door Car,460,F
ZU18643,Nevada,M,Bachelor,366077.03,64495,92.0,1/0/00,Corporate Auto,Four-Door Car,251,M
AZ82578,California,F,College,792882.93,0,72.0,1/0/00,Corporate Auto,Four-Door Car,345,F
XC67861,Arizona,F,Bachelor,501175.16,28859,67.0,1/3/00,Corporate Auto,Two-Door Car,321,F
YC43143,Arizona,F,High School or Below,798825.83,77330,99.0,1/0/00,Personal Auto,Four-Door Car,99,F
EK59571,Oregon,M,College,388545.64,0,105.0,1/0/00,Corporate Auto,Four-Door Car,504,M
PA38372,Washington,F,High School or Below,935773.78,33060,117.0,1/0/00,Personal Auto,Four-Door Car,56,F
RO18530,Washington,M,Master,254068.98,42557,65.0,1/0/00,Personal Auto,Four-Door Car,57,M
PD27940,Arizona,M,High School or Below,488516.25,26372,126.0,1/0/00,Personal Auto,SUV,604,M
BS77946,Arizona,F,Bachelor,975330.71,17514,127.0,1/0/00,Personal Auto,SUV,8,F
YM50253,California,Femal,Bachelor,294615.37,89270,74.0,1/0/00,Personal Auto,Four-Door Car,316,F
NR15332,California,M,High School or Below,258111.09,29757,65.0,1/0/00,Personal Auto,Four-Door Car,312,M
RC62865,Oregon,M,College,351738.58,51814,92.0,1/0/00,Personal Auto,Four-Door Car,56,M
CC15295,Oregon,F,Bachelor,974335.01,24028,82.0,1/0/00,Personal Auto,Four-Door Car,393,F
KA61892,Arizona,M,College,387364.7,28142,105.0,1/0/00,Personal Auto,Luxury,701,M
OS94884,Arizona,F,Bachelor,764928.2,52705,64.0,1/1/00,Personal Auto,Two-Door Car,128,F
ND87334,California,M,High School or Below,228759.69,0,63.0,1/0/00,Corporate Auto,Two-Door Car,679,M
OY51402,Washington,F,High School or Below,825576.39,54040,103.0,1/0/00,Personal Auto,SUV,59,F
YL74911,California,F,College,871492.21,0,118.0,1/0/00,Personal Auto,SUV,566,F
GK92563,Washington,F,Doctor,681923.12,22492,85.0,1/0/00,Personal Auto,Two-Door Car,61,F
HL53154,California,M,Bachelor,741619.73,0,77.0,1/2/00,Personal Auto,Four-Door Car,554,M
RI78966,Oregon,M,Master,777115.9,21876,68.0,1/0/00,Personal Auto,Four-Door Car,465,M
IC13702,California,F,Bachelor,696834.19,0,69.0,1/1/00,Personal Auto,Four-Door Car,496,F
BE10809,California,F,High School or Below,425028.26,0,61.0,1/1/00,Personal Auto,Four-Door Car,292,F
HT87217,Oregon,F,High School or Below,1977656.65,70699,82.0,1/0/00,Personal Auto,Four-Door Car,256,F
TH95618,California,F,High School or Below,2134346.6,0,74.0,1/1/00,Personal Auto,Four-Door Car,355,F
TS19868,California,M,College,241313.97,27501,63.0,1/0/00,Personal Auto,Four-Door Car,542,M
LP45550,Oregon,F,Doctor,1536384.72,15897,101.0,1/0/00,Personal Auto,Four-Door Car,303,F
QR87004,Nevada,F,College,845696.19,25141,73.0,1/1/00,Personal Auto,Four-Door Car,25,F
OE75747,Nevada,F,College,218964.25,0,61.0,1/3/00,Personal Auto,Four-Door Car,292,F
DX91392,California,M,High School or Below,578018.22,51066,74.0,1/0/00,Personal Auto,Four-Door Car,787,M
AB72731,California,F,Bachelor,463998.16,28358,117.0,1/0/00,Personal Auto,Luxury,84,F
GX84338,Washington,F,Doctor,382443.13,62530,95.0,1/0/00,Personal Auto,Four-Door Car,61,F
IS12901,Arizona,F,Bachelor,596811.89,90972,74.0,1/0/00,Personal Auto,Two-Door Car,232,F
BN90616,Washington,F,Bachelor,859033.5,63110,72.0,1/0/00,Personal Auto,Four-Door Car,68,F
HH90090,California,F,Bachelor,407663.47,29549,104.0,1/0/00,Personal Auto,Luxury,710,F
IU25463,California,F,Bachelor,1225260.18,0,115.0,1/1/00,Personal Auto,Four-Door Car,552,F
KC11055,Nevada,F,Bachelor,1693627.15,39411,217.0,1/2/00,Personal Auto,Luxury,1122,F
PD33979,Oregon,M,High School or Below,489243.55,21709,62.0,1/0/00,Personal Auto,Four-Door Car,408,M
NK71023,Nevada,M,Bachelor,994230.48,67890,85.0,1/0/00,Personal Auto,Four-Door Car,408,M
AB13432,California,M,Bachelor,373583.81,0,110.0,1/0/00,Personal Auto,SUV,792,M
OZ97704,California,F,High School or Below,1311752.22,84311,111.0,1/4/00,Personal Auto,SUV,532,F
UF46533,California,F,College,457452.41,99316,114.0,1/0/00,Corporate Auto,SUV,754,F
XP47431,Arizona,F,Bachelor,547006.06,54507,138.0,1/0/00,Personal Auto,SUV,702,F
GK73582,California,F,Bachelor,297884.6,64586,76.0,1/0/00,Personal Auto,Four-Door Car,206,F
RV98763,Oregon,M,College,641096.75,61709,82.0,1/2/00,Personal Auto,Four-Door Car,275,M
II62831,California,M,Master,447902.31,94656,111.0,1/1/00,Special Auto,SUV,459,M
XK33449,California,F,High School or Below,238373.19,0,69.0,1/0/00,Special Auto,Two-Door Car,496,F
TR85083,California,M,Bachelor,276449.37,61085,70.0,1/1/00,Personal Auto,Two-Door Car,336,M
EO95328,Oregon,F,Bachelor,792010.54,89284,67.0,1/3/00,Personal Auto,Two-Door Car,321,F
EN21086,Arizona,F,High School or Below,688909.8,0,63.0,1/0/00,Personal Auto,Four-Door Car,302,F
YL83902,Washington,F,Bachelor,327419.46,31686,81.0,1/0/00,Personal Auto,Four-Door Car,430,F
AZ62651,Oregon,M,High School or Below,995170.77,56855,255.0,1/0/00,Corporate Auto,Luxury,1836,M
ZW25874,Oregon,M,Bachelor,252155.57,53703,67.0,1/2/00,Special Auto,Four-Door Car,67,M
EH41854,Washington,F,High School or Below,2370611.34,0,96.0,1/1/00,Personal Auto,Two-Door Car,844,F
MW70227,California,M,College,604702.52,20396,76.0,1/1/00,Personal Auto,Four-Door Car,364,M
SL22297,California,F,Master,1114030.25,27679,150.0,1/0/00,Personal Auto,SUV,722,F
RV14138,Nevada,F,Bachelor,433406.41,23904,123.0,1/3/00,Personal Auto,SUV,590,F
UO62808,Arizona,F,High School or Below,279974.79,65351,69.0,1/0/00,Corporate Auto,Four-Door Car,481,F
ZX64745,California,M,College,792313.66,0,113.0,1/0/00,Personal Auto,SUV,1124,M
FL34139,California,M,High School or Below,368811.09,0,63.0,1/3/00,Personal Auto,Four-Door Car,669,M
TS11219,California,M,College,1206745.6,0,116.0,1/0/00,Personal Auto,SUV,1284,M
XX12304,California,F,College,292497.67,64459,72.0,1/0/00,Personal Auto,Four-Door Car,240,F
SD64087,California,M,College,1501409.27,32961,190.0,1/0/00,Corporate Auto,SUV,912,M
OY38576,Oregon,F,High School or Below,927723.38,71416,116.0,1/0/00,Corporate Auto,SUV,556,F
BG76355,Washington,F,Bachelor,627412.39,68964,78.0,1/0/00,Personal Auto,Four-Door Car,115,F
IP66913,California,M,High School or Below,388664.74,78108,98.0,1/0/00,Personal Auto,Two-Door Car,470,M
LE95702,California,M,College,438627.76,10621,67.0,1/0/00,Special Auto,Four-Door Car,321,M
KX54357,Washington,M,College,1136526.77,84910,95.0,1/0/00,Corporate Auto,Two-Door Car,383,M
EZ78112,California,Femal,High School or Below,561096.43,77493,70.0,1/0/00,Special Auto,Four-Door Car,307,F
XN16891,Arizona,M,College,291289.2,81097,74.0,1/0/00,Personal Auto,Four-Door Car,355,M
XK31350,Oregon,Femal,College,691572.99,96610,85.0,1/0/00,Corporate Auto,Four-Door Car,520,F
CC30924,Oregon,M,College,626266.33,30110,159.0,1/0/00,Corporate Auto,Luxury,466,M
IT78748,Oregon,Femal,High School or Below,650339.7,22081,84.0,1/0/00,Special Auto,Two-Door Car,451,F
KY33386,Washington,Femal,High School or Below,800739.94,0,112.0,1/0/00,Personal Auto,Luxury,537,F
CO44221,California,M,College,292991.65,98473,72.0,1/0/00,Personal Auto,Four-Door Car,345,M
LK60013,Oregon,Femal,Bachelor,596955.3,97431,74.0,1/0/00,Personal Auto,Four-Door Car,355,F
DE21533,California,M,Bachelor,547315.99,93870,69.0,1/0/00,Personal Auto,Four-Door Car,331,M
YS94121,Nevada,M,High School or Below,564539.67,50366,72.0,1/0/00,Personal Auto,Four-Door Car,428,M
UK68427,Washington,M,High School or Below,636926.24,34498,83.0,1/0/00,Personal Auto,Two-Door Car,398,M
TE49565,Oregon,Femal,College,1183376.73,16552,103.0,1/0/00,Personal Auto,SUV,494,F
RA88421,Oregon,Femal,College,612110.79,26787,77.0,1/0/00,Personal Auto,Four-Door Car,369,F
KQ51983,Nevada,M,College,515936.97,0,74.0,1/0/00,Personal Auto,Two-Door Car,831,M
CD88896,Nevada,Femal,High School or Below,251459.2,43860,65.0,1/0/00,Corporate Auto,Four-Door Car,156,F
YV22553,Arizona,M,High School or Below,866861.13,21474,114.0,1/2/00,Corporate Auto,SUV,373,M
WU14435,California,M,Bachelor,496096.54,18174,66.0,1/0/00,Corporate Auto,Four-Door Car,395,M
XV84099,Arizona,Femal,Bachelor,550413.9,0,73.0,1/0/00,Corporate Auto,Four-Door Car,350,F
RI24911,Arizona,Male,College,750745.54,60920,64.0,1/0/00,Personal Auto,Two-Door Car,231,M
KO26461,Arizona,Male,High School or Below,3226985.14,41520,90.0,1/0/00,Personal Auto,Four-Door Car,289,M
HI14283,Oregon,Femal,Bachelor,565703.16,0,152.0,1/0/00,Personal Auto,SUV,729,F
PT50227,Arizona,Male,High School or Below,506175.79,0,68.0,1/0/00,Personal Auto,Two-Door Car,326,M
BH36570,California,Male,Bachelor,591278.38,72208,73.0,1/0/00,Personal Auto,Two-Door Car,350,M
TX17484,California,Femal,Bachelor,1518227.98,53863,63.0,1/0/00,Personal Auto,Four-Door Car,105,F
CT41158,Washington,Male,College,1074703.09,66446,136.0,1/0/00,Corporate Auto,SUV,639,M
AO87348,Washington,Male,College,205062.35,0,61.0,1/0/00,Personal Auto,Four-Door Car,292,M
DE55857,Washington,Femal,Bachelor,246544.49,64997,63.0,1/1/00,Personal Auto,Four-Door Car,383,F
LF66923,Nevada,Femal,High School or Below,534312.13,64460,66.0,1/0/00,Corporate Auto,Two-Door Car,316,F
CN24514,Arizona,Femal,College,811982.91,46618,67.0,1/0/00,Personal Auto,Four-Door Car,99,F
UW32074,Oregon,Femal,College,460526.52,0,64.0,1/0/00,Corporate Auto,Four-Door Car,307,F
HP36979,California,Male,College,640878.56,49988,84.0,1/5/00,Personal Auto,Two-Door Car,566,M
PP40919,California,Femal,College,237653.35,0,91.0,1/5/00,Personal Auto,Two-Door Car,436,F
RO73268,California,M,Bachelor,321107.0,16269,86.0,1/0/00,Corporate Auto,Two-Door Car,412,M
HO61691,Arizona,F,Bachelor,509452.23,72006,64.0,1/0/00,Personal Auto,Four-Door Car,307,F
BS13062,Arizona,F,High School or Below,2575527.82,0,81.0,1/2/00,Personal Auto,Four-Door Car,388,F
FO35655,Oregon,M,Bachelor,867222.97,0,245.0,1/0/00,Corporate Auto,Luxury,2345,M
HR10526,California,M,Master,804473.07,44320,67.0,1/0/00,Personal Auto,Four-Door Car,321,M
IA63417,Arizona,F,High School or Below,400151.91,19782,108.0,1/0/00,Personal Auto,Two-Door Car,773,F
BH35016,Nevada,F,Bachelor,1670611.7,63933,70.0,1/0/00,Personal Auto,Two-Door Car,424,F
PK52952,Arizona,M,Doctor,854441.11,28224,109.0,1/0/00,Personal Auto,SUV,523,M
OD76309,Washington,F,College,780531.29,21073,106.0,1/1/00,Personal Auto,SUV,508,F
IL28481,Oregon,M,Bachelor,611275.69,63243,77.0,1/0/00,Personal Auto,Four-Door Car,364,M
GY55092,Nevada,M,High School or Below,477294.38,20993,133.0,1/0/00,Personal Auto,SUV,638,M
UF33451,Oregon,F,Bachelor,1097909.56,94827,135.0,1/0/00,Personal Auto,SUV,354,F
CF15558,California,F,Master,500426.38,39161,63.0,1/1/00,Personal Auto,Two-Door Car,283,F
JM62924,Washington,M,Bachelor,1322304.38,37534,84.0,1/2/00,Personal Auto,Four-Door Car,403,M
EM66435,Oregon,F,Bachelor,262331.54,80210,65.0,1/0/00,Corporate Auto,Four-Door Car,20,F
QX45933,California,M,Bachelor,1784019.56,0,62.0,1/0/00,Personal Auto,Four-Door Car,385,M
JI71369,California,F,College,510611.18,30110,64.0,1/0/00,Personal Auto,Four-Door Car,140,F
JU93290,Arizona,F,College,1793060.45,21708,68.0,1/0/00,Personal Auto,Four-Door Car,326,F
GU66096,Arizona,M,High School or Below,545734.26,94731,67.0,1/0/00,Personal Auto,Four-Door Car,321,M
